addressid,addressline1,addressline2,city,stateprovinceid,postalcode,spatiallocation,rowguid,modifieddate
14,8157 W. Book,,Bothell,79,98011,<memory at 0x000001A696BA6800>,a1c658ae-c553-4a9d-a081-a550d39b64df,2009-12-04 00:00:00
15,4912 La Vuelta,,Bothell,79,98011,<memory at 0x000001A696BA68C0>,f397e64a-a9d8-4e57-9e7c-b10928acadd6,2013-11-18 00:00:00
16,40 Ellis St.,,Bothell,79,98011,<memory at 0x000001A696BA6980>,0312b65f-cb60-4396-9ec7-a78b2eac1a1b,2012-11-09 00:00:00
17,6696 Anchor Drive,,Bothell,79,98011,<memory at 0x000001A696BA6A40>,ce9b3b47-9267-4727-bcd2-687c47482c06,2013-11-08 00:00:00
18,1873 Lion Circle,,Bothell,79,98011,<memory at 0x000001A696BA6B00>,963854f7-e3cb-46a1-a3db-1b05f71d6473,2013-11-30 00:00:00
19,3148 Rose Street,,Bothell,79,98011,<memory at 0x000001A696BA6BC0>,6b7acb0f-cdbf-44fd-ba14-eb08a56c1582,2014-04-03 00:00:00
20,6872 Thornwood Dr.,,Bothell,79,98011,<memory at 0x000001A696BA6C80>,4b1f1ed4-97a4-43fd-bb1e-9e05817718e8,2009-02-05 00:00:00
21,5747 Shirley Drive,,Bothell,79,98011,<memory at 0x000001A696BA6D40>,d83299d7-a0f4-4055-9bd5-5908e245d757,2009-02-11 00:00:00
22,636 Vine Hill Way,,Portland,58,97205,<memory at 0x000001A696BA6E00>,7f641525-2704-4f73-9d8a-eb062cfbfa3c,2011-05-24 00:00:00
23,6657 Sand Pointe Lane,,Seattle,79,98104,<memory at 0x000001A696BA6EC0>,b991568f-5096-4a92-b25c-1a3e4d2acc66,2009-01-15 00:00:00
24,80 Sunview Terrace,,Duluth,36,55802,<memory at 0x000001A696BA6F80>,be07d3c8-6e58-4670-9da9-151ab6d3d620,2011-05-24 00:00:00
25,9178 Jumping St.,,Dallas,73,75201,<memory at 0x000001A696BA7040>,c8df3bd9-48f0-4654-a8dd-14a67a84d3c6,2012-07-31 00:00:00
26,5725 Glaze Drive,,San Francisco,9,94109,<memory at 0x000001A69686B100>,77415959-a4ee-4da6-86f9-70c097560005,2011-05-24 00:00:00
27,2487 Riverside Drive,,Nevada,74,84407,<memory at 0x000001A69686AEC0>,c1d0f3b0-6b2a-4388-8861-48f44d8270a1,2011-05-24 00:00:00
28,9228 Via Del Sol,,Phoenix,6,85004,<memory at 0x000001A696BA53C0>,12ae5ee1-fc3e-468b-9b92-3b970b169774,2011-08-01 00:00:00
29,8291 Crossbow Way,,Memphis,72,38103,<memory at 0x000001A696BA7100>,7cc794ad-1822-412b-ab94-337a89a1d0c9,2011-05-24 00:00:00
30,9707 Coldwater Drive,,Orlando,15,32804,<memory at 0x000001A696BA71C0>,7431591f-36c1-4a65-b722-0e006db73557,2011-07-01 00:00:00
31,9100 Sheppard Avenue North,,Ottawa,57,K4B 1T7,<memory at 0x000001A696BA7280>,644dea26-e6fd-4019-85e6-35364ddab0cc,2011-05-24 00:00:00
32,26910 Indela Road,,Montreal,63,H1Y 2H5,<memory at 0x000001A696BA7340>,84a95f62-3ae8-4e7e-bbd5-5a6f00cd982d,2012-06-30 00:00:00
33,10203 Acorn Avenue,,Calgary,1,T2P 2G8,<memory at 0x000001A696BA7400>,237986d3-0f02-4d59-9b2e-6b1a6b5a6185,2011-05-24 00:00:00
34,"94, rue Descartes",,Bordeaux,119,33000,<memory at 0x000001A696BA74C0>,57f25eed-0f07-43ba-83b4-5a4b398f4bf2,2013-12-21 10:09:29.423000
35,Pascalstr 951,,Berlin,20,14111,<memory at 0x000001A696BA7580>,2985cf68-8155-45a3-b086-7b08bd4d46ef,2013-05-23 00:00:00
36,34 Waterloo Road,,Melbourne,77,3000,<memory at 0x000001A696BA7640>,18e590a6-a500-48b5-b092-9e0b59816436,2013-05-23 00:00:00
37,Downshire Way,,Cambridge,14,BA5 3HX,<memory at 0x000001A696BA7700>,7f80f9ce-50f1-404b-8c18-7c95ee35a6ee,2012-05-23 00:00:00
38,8154 Via Mexico,,Detroit,35,48226,<memory at 0x000001A696BA77C0>,bd54f2ad-157a-4491-9f05-cc1d5a492cf1,2011-05-24 00:00:00
39,3997 Via De Luna,,Cambridge,30,02139,<memory at 0x000001A696BA7880>,a5a9ac6d-5488-4a15-a932-f6fa651093f7,2012-09-23 00:00:00
40,1902 Santa Cruz,,Bothell,79,98011,<memory at 0x000001A696BA7940>,5a0c5c47-18be-420b-89ba-d39878160d80,2010-02-01 00:00:00
41,793 Crawford Street,,Kenmore,79,98028,<memory at 0x000001A696BA7A00>,58f28ffb-be74-47f9-aec0-d5771026ed8f,2014-03-25 00:00:00
42,463 H Stagecoach Rd.,,Kenmore,79,98028,<memory at 0x000001A696BA7AC0>,782c540d-3ead-4d15-b170-e60616cf125b,2009-01-20 00:00:00
43,5203 Virginia Lane,,Kenmore,79,98028,<memory at 0x000001A696BA7B80>,e210a601-42b9-4313-979d-4bcca6144343,2010-02-13 00:00:00
44,4095 Cooper Dr.,,Kenmore,79,98028,<memory at 0x000001A696BA7C40>,e6a218ae-516c-4cd6-a0a9-105fcd46994b,2008-12-27 00:00:00
45,6697 Ridge Park Drive,,Kenmore,79,98028,<memory at 0x000001A696BA7D00>,95a73034-bd61-4349-b337-02d647c88cdd,2008-11-25 00:00:00
46,5669 Ironwood Way,,Kenmore,79,98028,<memory at 0x000001A696BA7DC0>,8fd29f31-eb25-4ec7-9258-fef7160119c0,2009-01-29 00:00:00
47,8192 Seagull Court,,Kenmore,79,98028,<memory at 0x000001A696BA7E80>,3de1bde3-ff37-4992-b50e-e12d5e247132,2009-01-11 00:00:00
48,5553 Cash Avenue,,Kenmore,79,98028,<memory at 0x000001A696BA7F40>,1875165e-d9e4-414f-8fcb-6a8720625443,2014-01-31 00:00:00
49,7048 Laurel,,Kenmore,79,98028,<memory at 0x000001A69A698040>,c172e367-e6e6-4200-8865-12902022b891,2009-02-01 00:00:00
50,25 95th Ave NE,,Kenmore,79,98028,<memory at 0x000001A69A698100>,8ad42881-a81b-4a4d-95c2-6d34a55f3bc9,2009-02-06 00:00:00
51,3280 Pheasant Circle,,Snohomish,79,98296,<memory at 0x000001A69A6981C0>,d40aa5ff-462b-4322-9c67-c7b5f468e6e3,2008-11-30 00:00:00
52,4231 Spar Court,,Snohomish,79,98296,<memory at 0x000001A69A698280>,19801401-913f-45fa-a7d3-8573f35202e7,2009-01-20 00:00:00
53,1285 Greenbrier Street,,Snohomish,79,98296,<memory at 0x000001A69A698340>,d08e2b94-ffc3-44f6-b926-ecd76f0360f6,2008-12-28 00:00:00
54,5724 Victory Lane,,Snohomish,79,98296,<memory at 0x000001A69A698400>,aeb2271b-a9e9-454e-b04b-8a3b91014463,2010-01-29 00:00:00
55,591 Merriewood Drive,,Snohomish,79,98296,<memory at 0x000001A69A6984C0>,ab314668-eacd-4440-9832-cccf2b187078,2009-02-16 00:00:00
56,3114 Notre Dame Ave.,,Snohomish,79,98296,<memory at 0x000001A69A698580>,e7a29ce5-7ec6-4e64-9480-0c166297b6a5,2013-11-29 00:00:00
57,7230 Vine Maple Street,,Snohomish,79,98296,<memory at 0x000001A69A698640>,2c5fe85e-796e-4666-b449-9cfdfa870058,2009-01-22 00:00:00
58,2601 Cambridge Drive,,Snohomish,79,98296,<memory at 0x000001A69A698700>,44668102-3c93-4005-baab-e14d351d1522,2008-12-05 00:00:00
59,2115 Passing,,Snohomish,79,98296,<memory at 0x000001A69A6987C0>,77923f90-fccd-40ae-8c51-52a2267a5a61,2008-11-30 00:00:00
60,4852 Chaparral Court,,Snohomish,79,98296,<memory at 0x000001A69A698880>,5457d27a-52b3-4150-87ea-96b42645ab01,2009-12-25 00:00:00
61,7726 Driftwood Drive,,Monroe,79,98272,<memory at 0x000001A69A698940>,07373e01-bd99-405a-996a-ab68984423c3,2006-06-23 00:00:00
62,3841 Silver Oaks Place,,Monroe,79,98272,<memory at 0x000001A69A698A00>,851aa003-2d0f-4165-a54b-a13d9b86924a,2008-11-27 00:00:00
63,9652 Los Angeles,,Monroe,79,98272,<memory at 0x000001A69A698AC0>,e031cc1e-3e82-4338-b590-5fe91242deff,2009-01-27 00:00:00
64,4566 La Jolla,,Monroe,79,98272,<memory at 0x000001A69A698B80>,39efcf68-25ca-4b41-9882-a91f8fc2ec62,2009-01-08 00:00:00
65,1356 Grove Way,,Monroe,79,98272,<memory at 0x000001A69A698C40>,c9ed93ad-fe56-4a9e-86d0-e53db70db0cc,2009-02-14 00:00:00
66,4775 Kentucky Dr.,Unit E,Monroe,79,98272,<memory at 0x000001A69A698D00>,462876dd-b30c-4e9b-a0ad-67a0e14986c6,2014-05-27 00:00:00
67,4734 Sycamore Court,,Monroe,79,98272,<memory at 0x000001A69A698DC0>,f6a0bc36-9c6e-4395-a7d5-8f31ad3775f4,2008-12-20 00:00:00
68,896 Southdale,,Monroe,79,98272,<memory at 0x000001A69A698E80>,bff6c765-a8ea-4f40-9c87-43c8829eb396,2009-02-26 00:00:00
69,2275 Valley Blvd.,,Monroe,79,98272,<memory at 0x000001A69A698F40>,192987fc-ca4b-421a-8ea9-52ed8eed3d32,2009-01-14 00:00:00
70,1792 Belmont Rd.,,Monroe,79,98272,<memory at 0x000001A69A699000>,5f659de9-3a31-41d5-bb92-ea0d34486c83,2008-12-02 00:00:00
71,5734 Ashford Court,,Monroe,79,98272,<memory at 0x000001A69A6990C0>,5cd0edd1-7841-49c9-aebb-69ed1cd2989c,2008-02-13 00:00:00
72,5030 Blue Ridge Dr.,,Monroe,79,98272,<memory at 0x000001A69A699180>,51711cd3-947c-4666-882f-a50943e12339,2009-02-06 00:00:00
73,158 Walnut Ave,,Monroe,79,98272,<memory at 0x000001A69A699240>,2ad59424-b8fc-4957-82f7-62c11dd89235,2009-02-07 00:00:00
74,8310 Ridge Circle,,Monroe,79,98272,<memory at 0x000001A69A699300>,82780fdb-8df5-4334-9994-2d306ecc73e1,2008-11-30 00:00:00
75,3747 W. Landing Avenue,,Monroe,79,98272,<memory at 0x000001A69A6993C0>,05524ab0-4696-4670-8d2f-580b6a5df760,2009-02-28 00:00:00
76,2598 La Vista Circle,,Duvall,79,98019,<memory at 0x000001A69A699480>,3661f140-8de9-4c81-a54e-661e6c61a801,2009-02-03 00:00:00
77,9693 Mellowood Street,,Duvall,79,98019,<memory at 0x000001A69A699540>,c83b3a62-3561-4378-b307-540451ac23bd,2008-02-20 00:00:00
78,1825 Corte Del Prado,,Duvall,79,98019,<memory at 0x000001A69A699600>,86f8d7ea-af62-4a35-8fc6-4278bca608f1,2008-12-27 00:00:00
79,5086 Nottingham Place,,Duvall,79,98019,<memory at 0x000001A69A6996C0>,83393058-231c-4d1e-863a-88385d126810,2010-01-17 00:00:00
80,3977 Central Avenue,,Duvall,79,98019,<memory at 0x000001A69A699780>,30a7ad1e-78f0-4f04-83ee-2cd1c37d59a5,2009-02-02 00:00:00
81,8209 Green View Court,,Duvall,79,98019,<memory at 0x000001A69A699840>,41ae4c8a-1922-427a-b66f-3779639b0f42,2010-02-20 00:00:00
82,8463 Vista Avenue,,Duvall,79,98019,<memory at 0x000001A69A699900>,c2ae1ea5-4f3c-413c-8810-4185ee46bb96,2009-02-21 00:00:00
83,5379 Treasure Island Way,# 14,Duvall,79,98019,<memory at 0x000001A69A6999C0>,f229a37b-c8d9-4e4a-99bb-4d12715a2f5e,2009-02-04 00:00:00
84,3421 Bouncing Road,,Duvall,79,98019,<memory at 0x000001A69A699A80>,83b10347-08dc-4e5e-8a94-60deb34d92a7,2008-12-01 00:00:00
85,991 Vista Verde,,Duvall,79,98019,<memory at 0x000001A69A699B40>,8eab0498-eb64-4f80-aede-ca3735d4c097,2009-02-01 00:00:00
86,390 Ridgewood Ct.,,Carnation,79,98014,<memory at 0x000001A69A699C00>,dafbd136-5ac2-4f16-8d82-2bfffd60b7a7,2008-12-20 00:00:00
87,1411 Ranch Drive,,Carnation,79,98014,<memory at 0x000001A69A699CC0>,b7ad6512-9b80-4fdb-8ebb-b9934b211cea,2009-02-06 00:00:00
88,9666 Northridge Ct.,,Carnation,79,98014,<memory at 0x000001A69A699D80>,fd316d3a-10f5-41d7-8cd9-7b1eaa851223,2008-12-01 00:00:00
89,3074 Arbor Drive,,Carnation,79,98014,<memory at 0x000001A69A699E40>,bf8e2fbe-1bc0-4643-9764-2903c86438ec,2008-12-14 00:00:00
90,9752 Jeanne Circle,,Carnation,79,98014,<memory at 0x000001A69A699F00>,5582d57f-9e56-4d15-8633-633206d2a182,2010-01-09 00:00:00
91,7166 Brock Lane,,Seattle,79,98104,<memory at 0x000001A69A699FC0>,219725c5-2537-45db-879d-ce160729eece,2008-12-15 00:00:00
92,7126 Ending Ct.,,Seattle,79,98104,<memory at 0x000001A69A69A080>,dedcaecb-19b4-4441-9bbb-bc758329f406,2007-12-19 00:00:00
93,4598 Manila Avenue,,Seattle,79,98104,<memory at 0x000001A69A69A140>,058435df-1143-4921-a47e-fd02e7f05ea7,2010-01-29 00:00:00
94,5666 Hazelnut Lane,,Seattle,79,98104,<memory at 0x000001A69A69A200>,1033ef53-1246-4830-878c-516d4697ed8b,2009-02-24 00:00:00
95,1220 Bradford Way,,Seattle,79,98104,<memory at 0x000001A69A69A2C0>,ef7470d7-d3ce-4e30-ae81-6e1f7752134e,2008-12-08 00:00:00
96,5375 Clearland Circle,,Seattle,79,98104,<memory at 0x000001A69A69A380>,ef57ea2b-15fd-4887-90dc-77ec79ae67e9,2009-01-04 00:00:00
97,2639 Anchor Court,,Seattle,79,98104,<memory at 0x000001A69A69A440>,9c3d0b0d-e3b3-4696-b0eb-a90356cb8acc,2014-02-07 00:00:00
98,502 Alexander Pl.,,Seattle,79,98104,<memory at 0x000001A69A69A500>,b3d67582-a180-42ad-be0d-e8fac4080354,2009-01-25 00:00:00
99,5802 Ampersand Drive,,Seattle,79,98104,<memory at 0x000001A69A69A5C0>,137cc1ba-089a-4e2d-91bf-7480802a7e00,2008-12-31 00:00:00
100,5125 Cotton Ct.,,Seattle,79,98104,<memory at 0x000001A69A69A680>,ab6bcc20-67d3-4a26-ba02-cdc917c2dee4,2009-02-03 00:00:00
101,3243 Buckingham Dr.,# 207,Seattle,79,98104,<memory at 0x000001A69A69A740>,0f1f79ab-54a1-4c6c-beb7-e476e8521599,2009-02-15 00:00:00
102,3029 Pastime Dr,# 2,Seattle,79,98104,<memory at 0x000001A69A69A800>,5e77ca8d-72d4-4572-8f88-1a1a5a7969f0,2009-01-04 00:00:00
103,9537 Ridgewood Drive,,Seattle,79,98104,<memory at 0x000001A69A69A8C0>,906f7b49-e609-42cb-9bf5-ed5c043d166c,2010-02-05 00:00:00
104,9964 North Ridge Drive,,Seattle,79,98104,<memory at 0x000001A69A69A980>,3b560935-ad49-458d-9c58-3d09c4b1ec3e,2009-01-29 00:00:00
105,1619 Stillman Court,,Seattle,79,98104,<memory at 0x000001A69A69AA40>,3a7baabe-a265-43de-86e1-cfe6ea60e3b0,2008-12-19 00:00:00
106,2144 San Rafael,,Seattle,79,98104,<memory at 0x000001A69A69AB00>,e0d82a90-fae8-43a9-a98d-4f6512e57709,2009-01-05 00:00:00
107,7403 N. Broadway,,Seattle,79,98104,<memory at 0x000001A69A69ABC0>,c9fe9dd9-6867-44fc-9c5a-07dbc9ca6f7f,2009-01-01 00:00:00
108,7842 Ygnacio Valley Road,,Seattle,79,98104,<memory at 0x000001A69A69AC80>,6600064e-0b21-405d-85c4-6a5e1e41771d,2008-12-10 00:00:00
109,874 Olivera Road,,Seattle,79,98104,<memory at 0x000001A69A69AD40>,f868aae1-dacb-4606-88c4-eb07f4492629,2010-02-24 00:00:00
110,1064 Slow Creek Road,,Seattle,79,98104,<memory at 0x000001A69A69AE00>,184ad4a1-45b8-4910-a2b2-a9e2a658b07c,2008-12-08 00:00:00
111,77 Birchwood,,Seattle,79,98104,<memory at 0x000001A69A69AEC0>,c27e3b42-1548-404c-b104-f765cf42c068,2009-01-27 00:00:00
112,7765 Sunsine Drive,,Seattle,79,98104,<memory at 0x000001A69A69AF80>,40e9167a-db5b-4d4b-9b57-f5030a37ea4c,2009-02-19 00:00:00
113,1102 Ravenwood,,Seattle,79,98104,<memory at 0x000001A69A69B040>,8a12573d-d7c2-4c04-bbb1-a2f050626670,2009-12-15 00:00:00
114,1398 Yorba Linda,,Seattle,79,98104,<memory at 0x000001A69A69B100>,c32ca551-349e-42fd-ab0b-6170e7f0b516,2009-02-08 00:00:00
115,4948 West 4th St,,Seattle,79,98104,<memory at 0x000001A69A69B1C0>,e7cbd421-ffd2-4a42-a143-67da8558cc03,2009-02-13 00:00:00
116,8290 Margaret Ct.,,Seattle,79,98104,<memory at 0x000001A69A69B280>,db4fab47-ed99-45b0-9064-3aa30f94d74d,2009-01-10 00:00:00
117,426 San Rafael,,Seattle,79,98104,<memory at 0x000001A69A69B340>,5c85508e-c13b-49f2-a260-0a0825ed9b81,2009-02-08 00:00:00
118,136 Balboa Court,,Seattle,79,98104,<memory at 0x000001A69A69B400>,e8d35bfa-25ae-422e-b9e9-1d4f4aea18cc,2008-12-25 00:00:00
119,7439 Laguna Niguel,,Seattle,79,98104,<memory at 0x000001A69A69B4C0>,e09b80e3-dd7f-4dd5-a930-3f1dee324f48,2008-11-28 00:00:00
120,6498 Mining Rd.,,Seattle,79,98104,<memory at 0x000001A69A69B580>,fb839852-9026-4c74-a7f2-e53030b7a434,2009-02-08 00:00:00
121,6578 Woodhaven Ln.,,Seattle,79,98104,<memory at 0x000001A69A69B640>,84eaaa89-fdb6-492b-ad96-76793872c81b,2008-11-26 00:00:00
122,2354 Frame Ln.,,Seattle,79,98104,<memory at 0x000001A69A69B700>,28b00d11-67b0-4818-8b3a-1cfd2ff6169d,2009-12-18 00:00:00
123,6843 San Simeon Dr.,,Seattle,79,98104,<memory at 0x000001A69A69B7C0>,27ce20f5-6770-4dcc-9b57-ec895a745553,2009-01-26 00:00:00
124,7616 Honey Court,,Seattle,79,98104,<memory at 0x000001A69A69B880>,6a85821b-1e54-41e7-bb10-25feaf5a63e8,2008-12-05 00:00:00
125,931 Corte De Luna,,Seattle,79,98104,<memory at 0x000001A69A69B940>,2c9d61c7-2185-45c3-b20e-04ab9cadff7a,2008-12-08 00:00:00
126,7594 Alexander Pl.,,Seattle,79,98104,<memory at 0x000001A69A69BA00>,fad17750-d933-4352-9c7c-2fc1378ed1a6,2008-12-10 00:00:00
127,7127 Los Gatos Court,,Seattle,79,98104,<memory at 0x000001A69A69BAC0>,5648b48c-4a83-491e-a4c1-edcbb199c0fd,2008-11-29 00:00:00
128,8656 Lakespring Place,,Seattle,79,98104,<memory at 0x000001A69A69BB80>,e7889d2b-ae5e-4b37-ab7b-cf28187a3114,2010-01-05 00:00:00
129,5025 Holiday Hills,,Seattle,79,98104,<memory at 0x000001A69A69BC40>,94d5bd03-6949-405d-b0df-7ac5f278081f,2008-12-26 00:00:00
130,5376 Catanzaro Way,,Seattle,79,98104,<memory at 0x000001A69A69BD00>,ad7c7f01-b283-41f1-b8f1-3aebfe50fd18,2009-02-25 00:00:00
131,504 O St.,,Edmonds,79,98020,<memory at 0x000001A69A69BDC0>,e858bee0-02ad-4bab-bc2b-6a66dd046e7b,2013-12-31 00:00:00
132,6870 D Bel Air Drive,,Edmonds,79,98020,<memory at 0x000001A69A69BE80>,ab316a30-9d6b-4b6f-915c-616f6abd7092,2010-02-06 00:00:00
133,8152 Claudia Dr.,,Edmonds,79,98020,<memory at 0x000001A69A69BF40>,7bbac738-c1b1-411b-b308-2054a5e1f55f,2009-01-05 00:00:00
134,6057 Hill Street,,Edmonds,79,98020,<memory at 0x000001A69A6A8040>,b0f69a8c-1c4e-4a41-a710-0bb1865d85aa,2008-12-15 00:00:00
135,2812 Mazatlan,,Edmonds,79,98020,<memory at 0x000001A69A6A8100>,e55266a9-fb17-419f-970d-f96ee2e91f7b,2009-02-19 00:00:00
136,172 Turning Dr.,,Edmonds,79,98020,<memory at 0x000001A69A6A81C0>,37c96b81-2e9c-4d4d-beae-44aba1854c47,2008-12-12 00:00:00
137,9784 Mt Etna Drive,,Edmonds,79,98020,<memory at 0x000001A69A6A8280>,e6266748-6e05-416c-8ff9-beb5c8b15323,2008-12-16 00:00:00
138,2059 Clay Rd,,Edmonds,79,98020,<memory at 0x000001A69A6A8340>,a158113b-ac84-4a89-8903-a6dd5f10ce82,2008-12-28 00:00:00
139,2687 Ridge Road,,Edmonds,79,98020,<memory at 0x000001A69A6A8400>,25b072ab-17f7-4c1c-a13a-acd309bbaa61,2009-01-13 00:00:00
140,371 Apple Dr.,,Edmonds,79,98020,<memory at 0x000001A69A6A84C0>,88fa21d3-2523-4cf1-bcfd-151e734f8961,2009-01-07 00:00:00
141,3281 Hillview Dr.,,Edmonds,79,98020,<memory at 0x000001A69A6A8580>,ace0c24a-95b6-4f08-b223-1a39c64e9051,2008-12-10 00:00:00
142,2080 Sycamore Drive,,Edmonds,79,98020,<memory at 0x000001A69A6A8640>,8541e00d-8da8-429b-912e-b7e854747a00,2008-12-28 00:00:00
143,7511 Cooper Dr.,,Edmonds,79,98020,<memory at 0x000001A69A6A8700>,a6d5094a-e523-45a8-abe5-0afc2e7b6fc1,2010-02-16 00:00:00
144,9825 Coralie Drive,,Edmonds,79,98020,<memory at 0x000001A69A6A87C0>,716cf949-c005-4255-ae10-a36a0e905fa2,2009-01-06 00:00:00
145,8411 Mt. Orange Place,,Edmonds,79,98020,<memory at 0x000001A69A6A8880>,f7053382-c9f1-45bf-a0bd-878fe976208f,2008-12-12 00:00:00
146,207 Berry Court,,Edmonds,79,98020,<memory at 0x000001A69A6A8940>,b374fea1-c3b5-4737-a1a4-190997e961df,2009-01-03 00:00:00
147,1061 Buskrik Avenue,,Edmonds,79,98020,<memory at 0x000001A69A6A8A00>,69b366b3-533e-4f15-9d75-588789548dd0,2009-03-01 00:00:00
148,3632 Bank Way,,Edmonds,79,98020,<memory at 0x000001A69A6A8AC0>,0f7b8ac1-a660-447e-aad4-a0048da3cd47,2010-02-16 00:00:00
149,3026 Anchor Drive,,Edmonds,79,98020,<memory at 0x000001A69A6A8B80>,0bfeb74b-804d-4a03-b94d-5812f3df69a8,2010-01-22 00:00:00
150,7338 Green St.,,Edmonds,79,98020,<memory at 0x000001A69A6A8C40>,a1d9a607-d8e3-4402-9c5c-03d1131ed99b,2009-02-19 00:00:00
151,2038 Encino Drive,,Edmonds,79,98020,<memory at 0x000001A69A6A8D00>,08ca24af-10d0-4ac6-8e70-a6387ecdb91b,2009-01-24 00:00:00
152,2466 Clearland Circle,,Edmonds,79,98020,<memory at 0x000001A69A6A8DC0>,1494ad94-c1fe-4a28-ad63-a59370718785,2009-12-22 00:00:00
153,9277 Country View Lane,,Edmonds,79,98020,<memory at 0x000001A69A6A8E80>,7d7da7be-b880-411d-88d2-521b5ccf8d25,2008-01-26 00:00:00
154,5423 Champion Rd.,,Edmonds,79,98020,<memory at 0x000001A69A6A8F40>,2e5b2953-bee0-4568-a6f0-5ab41abbcf63,2008-12-24 00:00:00
155,2046 Las Palmas,,Edmonds,79,98020,<memory at 0x000001A69A6A9000>,6f00fb01-941a-48ac-852b-363829c2451b,2009-01-22 00:00:00
156,8684 Military East,,Bellevue,79,98004,<memory at 0x000001A69A6A90C0>,5a51864d-a250-4fec-8fb5-cebe85c124b7,2008-11-25 00:00:00
157,7270 Pepper Way,,Bellevue,79,98004,<memory at 0x000001A69A6A9180>,cc0bca82-aec9-4c7a-bb9f-14f6db055c62,2008-11-27 00:00:00
158,6058 Hill Street,# 4,Bellevue,79,98004,<memory at 0x000001A69A6A9240>,cacf831d-22dd-4e2b-a377-e11a89d2d526,2009-12-18 00:00:00
159,1648 Eastgate Lane,,Bellevue,79,98004,<memory at 0x000001A69A6A9300>,fbdb3c4b-7596-4d25-b9a8-0c935c1781e2,2009-01-28 00:00:00
160,3454 Bel Air Drive,,Bellevue,79,98004,<memory at 0x000001A69A6A93C0>,f5c14ae9-edcf-49e4-9e4d-8f24731c64aa,2008-12-30 00:00:00
161,3067 Maya,,Bellevue,79,98004,<memory at 0x000001A69A6A9480>,fe628a3e-e504-49ee-a556-9634c06cc432,2010-01-25 00:00:00
162,3197 Thornhill Place,,Bellevue,79,98004,<memory at 0x000001A69A6A9540>,c2f65ea2-3bd2-4a3e-9752-ce92bab74bd7,2008-12-22 00:00:00
163,3919 Pinto Road,,Bellevue,79,98004,<memory at 0x000001A69A6A9600>,037683a3-2356-42b3-bb38-bc14cb9ded9c,2009-02-14 00:00:00
164,7396 Stratton Circle,,Bellevue,79,98004,<memory at 0x000001A69A6A96C0>,72186098-a652-4df8-91d1-9cfe115ffb7a,2010-01-17 00:00:00
165,9745 Bonita Ct.,,Bellevue,79,98004,<memory at 0x000001A69A6A9780>,7cf4fdfd-4b09-4466-a3d3-84ec32ed4163,2009-02-01 00:00:00
166,3670 All Ways Drive,,Bellevue,79,98004,<memory at 0x000001A69A6A9840>,89270ef3-86e4-41e9-b3d3-86149f08cf05,2008-11-24 00:00:00
167,7221 Peachwillow Street,,Bellevue,79,98004,<memory at 0x000001A69A6A9900>,29024b91-f4e4-40b1-81be-7f2b23a24ff5,2010-02-25 00:00:00
168,1343 Prospect St,,Bellevue,79,98004,<memory at 0x000001A69A6A99C0>,386d3617-769d-40d1-ab18-301e4e40b920,2009-01-10 00:00:00
169,6448 Castle Court,,Bellevue,79,98004,<memory at 0x000001A69A6A9A80>,1bb6c40a-9fdf-4c9e-ac1f-8e0f2df2414a,2008-11-25 00:00:00
